OP_CARRIER,ORIGIN,DEST,COST,IS_POPULAR
MQ,DFW,TYR,1,0
MQ,TYR,DFW,1,0
MQ,BNA,LGA,1,0
MQ,MIA,CVG,1,0
MQ,GRB,ORD,1,0
MQ,ORD,GRB,1,0
MQ,DCA,PBI,1,0
MQ,PBI,DCA,1,0
MQ,DFW,SJT,1,0
MQ,SJT,DFW,1,0
MQ,DFW,GRK,1,0
MQ,GRK,DFW,1,0
MQ,ORD,BUF,1,0
MQ,ORD,SYR,1,0
MQ,CVG,LGA,1,0
MQ,TYS,ORD,1,0
MQ,ORD,CMI,1,0
MQ,LAN,ORD,1,0
MQ,BPT,DFW,1,0
MQ,CVG,ORD,1,0
MQ,BOI,ORD,1,0
MQ,ORD,BOI,1,0
MQ,ORD,TYS,1,0
MQ,ORD,LSE,1,0
MQ,JFK,CMH,1,0
MQ,DFW,BPT,1,0
MQ,GNV,MIA,1,0
MQ,MIA,GNV,1,0
MQ,DFW,LIT,1,0
MQ,LIT,DFW,1,0
MQ,ORD,DSM,1,0
MQ,DSM,ORD,1,0
MQ,ORD,GSP,1,0
MQ,ORD,SDF,1,0
MQ,SDF,ORD,1,0
MQ,ORD,AZO,1,0
MQ,ORD,BMI,1,0
MQ,GSO,ORD,1,0
MQ,ORD,GSO,1,0
MQ,CHS,ORD,1,0
MQ,ORD,CHS,1,0
MQ,GSO,MIA,1,0
MQ,MIA,GSO,1,0
MQ,ORD,RST,1,0
MQ,FSD,ORD,1,0
MQ,ORD,FSD,1,0
MQ,MEM,ORD,1,0
MQ,ORD,MEM,1,0
MQ,XNA,ORD,1,0
MQ,BWI,ORD,1,0
MQ,DFW,SGF,1,0
MQ,SGF,DFW,1,0
MQ,LGA,PIT,1,0
MQ,PIT,LGA,1,0
MQ,DCA,PNS,1,0
MQ,DFW,DAY,1,0
MQ,CMH,MIA,1,0
MQ,DFW,LEX,1,0
MQ,LEX,DFW,1,0
MQ,DFW,MSN,1,0
MQ,MSN,DFW,1,0
MQ,MGM,DFW,1,0
MQ,ORD,CMH,1,0
MQ,ORD,LIT,1,0
MQ,IND,JFK,1,0
MQ,JFK,IND,1,0
MQ,CWA,ORD,1,0
MQ,ORD,BWI,1,0
MQ,LSE,ORD,1,0
MQ,JFK,BWI,1,0
MQ,ORD,ELP,1,0
MQ,MIA,CMH,1,0
MQ,CLT,CHO,1,0
MQ,ORD,BNA,1,0
MQ,ELP,ORD,1,0
MQ,RDU,LGA,1,0
MQ,CMH,ORD,1,0
MQ,DFW,HOU,1,0
MQ,HOU,DFW,1,0
MQ,ACT,DFW,1,0
MQ,DFW,ACT,1,0
MQ,TOL,ORD,1,0
MQ,ORD,TOL,1,0
MQ,PNS,DCA,1,0
MQ,DFW,TXK,1,0
MQ,XNA,DCA,1,0
MQ,DFW,AEX,1,0
MQ,ORD,FAR,1,0
MQ,PIT,ORD,1,0
MQ,JFK,BNA,1,0
MQ,IND,LGA,1,0
MQ,ROC,ORD,1,0
MQ,DFW,GGG,1,0
MQ,GGG,DFW,1,0
MQ,ORF,JFK,1,0
MQ,IND,ORD,1,0
MQ,ORD,IND,1,0
MQ,BZN,ORD,1,0
MQ,ORD,BZN,1,0
MQ,AEX,DFW,1,0
MQ,LGA,CMH,1,0
MQ,MEM,DFW,1,0
MQ,DFW,SUX,1,0
MQ,SUX,DFW,1,0
MQ,CMI,ORD,1,0
MQ,CHO,CLT,1,0
MQ,LGA,RIC,1,0
MQ,BWI,JFK,1,0
MQ,DFW,GSO,1,0
MQ,CLT,SGF,1,0
MQ,SGF,CLT,1,0
MQ,ORD,TVC,1,0
MQ,TVC,ORD,1,0
MQ,DFW,SPI,1,0
MQ,DFW,PNS,1,0
MQ,PNS,DFW,1,0
MQ,GSO,DFW,1,0
MQ,LGA,CLE,1,0
MQ,FWA,ORD,1,0
MQ,ORD,MQT,1,0
MQ,ORD,OMA,1,0
MQ,ORD,CAK,1,0
MQ,RST,ORD,1,0
MQ,ORD,AVP,1,0
MQ,MLI,ORD,1,0
MQ,ORD,MLI,1,0
MQ,BNA,ORD,1,0
MQ,DFW,ABI,1,0
MQ,ORD,SRQ,1,0
MQ,SRQ,ORD,1,0
MQ,SHV,DFW,1,0
MQ,DFW,SHV,1,0
MQ,MEM,LGA,1,0
MQ,MCI,ORD,1,0
MQ,ORD,MCI,1,0
MQ,ORD,LEX,1,0
MQ,DFW,CVG,1,0
MQ,CLL,DFW,1,0
MQ,ORD,JAX,1,0
MQ,MSN,ORD,1,0
MQ,ORD,MSN,1,0
MQ,GSO,LGA,1,0
MQ,GJT,DFW,1,0
MQ,CMH,JFK,1,0
MQ,TXK,DFW,1,0
MQ,CVG,DFW,1,0
MQ,ILM,LGA,1,0
MQ,LGA,ILM,1,0
MQ,SPI,DFW,1,0
MQ,SYR,ORD,1,0
MQ,ORD,ROC,1,0
MQ,LGA,RDU,1,0
MQ,BNA,JFK,1,0
MQ,DFW,LCH,1,0
MQ,ORD,DAY,1,0
MQ,DAY,ORD,1,0
MQ,DFW,MLU,1,0
MQ,DFW,GCK,1,0
MQ,MLU,DFW,1,0
MQ,LGA,BNA,1,0
MQ,LGA,ORF,1,0
MQ,ORD,CVG,1,0
MQ,CLT,GSO,1,0
MQ,ORD,ALB,1,0
MQ,ORD,IAH,1,0
MQ,BUF,ORD,1,0
MQ,DFW,MSO,1,0
MQ,MSO,DFW,1,0
MQ,CHA,DFW,1,0
MQ,DFW,CHA,1,0
MQ,ORD,COU,1,0
MQ,DFW,FSM,1,0
MQ,FSM,DFW,1,0
MQ,GSP,ORD,1,0
MQ,LCH,DFW,1,0
MQ,ORD,XNA,1,0
MQ,RIC,ORD,1,0
MQ,ORD,STL,1,0
MQ,OMA,ORD,1,0
9E,GNV,ATL,1,0
9E,MSP,CVG,1,0
9E,TLH,ATL,1,0
9E,ATL,FSM,1,0
9E,DAY,MSP,1,0
9E,JAN,ATL,1,0
9E,LGA,CVG,1,0
9E,JAX,LGA,1,0
9E,ATL,BMI,1,0
9E,BMI,ATL,1,0
9E,DTW,DAY,1,0
9E,MSP,DAY,1,0
9E,PHL,DTW,1,0
9E,JFK,RIC,1,0
9E,DTW,EWR,1,0
9E,AGS,ATL,1,0
9E,ATL,AGS,1,0
9E,LIT,ATL,1,0
9E,ATL,OAJ,1,0
9E,ATL,GNV,1,0
9E,EYW,ATL,1,0
9E,MSP,CWA,1,0
9E,CAE,ATL,1,0
9E,CWA,DTW,1,0
9E,ATL,MGM,1,0
9E,TRI,ATL,1,0
9E,BOS,BNA,1,0
9E,ATL,LNK,1,0
9E,MGM,ATL,1,0
9E,MDT,DTW,1,0
9E,MKE,MSP,1,0
9E,FSM,ATL,1,0
9E,ATL,PIA,1,0
9E,ATL,BHM,1,0
9E,BHM,ATL,1,0
9E,DTW,AVP,1,0
9E,DTW,LAN,1,0
9E,ATL,TYS,1,0
9E,LGA,PIT,1,0
9E,LGA,JAX,1,0
9E,PIA,ATL,1,0
9E,CVG,MSP,1,0
9E,ATL,GTR,1,0
9E,GTR,ATL,1,0
9E,SDF,MSP,1,0
